...1,Class,Order,Country.list,Region,system,biome,realm,year,abundance
89270,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1992,210
89296,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1992,63.24
89655,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1992,234
91043,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1992,4
94491,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1993,90
94549,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1993,112
94878,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1993,1360
94904,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1993,48.45
95249,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1993,419
96732,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1993,5
100146,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1994,81
100205,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1994,34
100554,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1994,675
100580,Aves,Passeriformes,Poland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1994,47.55
100965,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1994,157
102493,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1994,20
102512,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1994,6
105959,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1995,90
106020,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1995,32
106392,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1995,100
106748,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1995,85
108353,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1995,23
108369,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1995,3
111887,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1996,100
111957,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1996,100
111958,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1996,73
112337,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1996,1130
112730,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1996,314
114206,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1996,16
114227,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1996,3
117991,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1997,98
118062,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1997,97
118063,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1997,133
118478,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1997,2170
118833,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1997,213
120339,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1997,31
120362,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1997,4
123799,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1998,90
123870,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1998,99
123871,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1998,71
124291,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1998,690
124626,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1998,240
126139,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1998,52
126161,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1998,5.5
129433,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1999,95
129434,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1999,49
130160,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,1999,47
131702,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1999,57
131746,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,1999,6
135274,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2000,85
135275,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2000,57
135907,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,2000,124
137496,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2000,48
137534,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2000,6
140780,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2001,88
140781,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2001,89
141304,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,2001,147
142729,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2001,45
142772,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2001,6
145832,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2002,98
145833,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2002,124
146383,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,2002,128
147858,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2002,63
147896,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2002,6
150856,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2003,100
150857,Aves,Passeriformes,Norway,Europe,Terrestrial,Boreal forests/taiga,Palearctic,2003,79
151339,Aves,Passeriformes,Norway,Europe,Terrestrial,Temperate coniferous forests,Palearctic,2003,190
152554,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2003,51
152593,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2003,5
157104,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2004,39
157142,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2004,7
161586,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2005,47
161604,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2005,6.5
165586,Aves,Passeriformes,Spain,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2006,18
165603,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2006,9
168815,Aves,Passeriformes,France,Europe,Terrestrial,Mediterranean forests woodlands and scrub,Palearctic,2007,8
