...1,Class,Order,Country.list,Region,system,biome,realm,year,abundance
18620,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1976,20.1
18621,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,13.3
18622,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,13.3
18637,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,15.6
18638,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,15.6
18660,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,25.9
18661,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,25.9
18717,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1976,24.2
18779,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1976,40.6
18780,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1976,40.6
18819,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1976,56.3
18820,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1976,56.3
19905,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1976,96
19906,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1976,96
20054,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1976,328
20055,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1976,328
20305,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1976,2.68
20559,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1976,69.5
20560,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1976,69.5
21296,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1977,3.69
21297,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1977,3.69
21737,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,10.2
21738,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,10.2
21777,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,9.1
21778,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,9.1
22009,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1977,20
22010,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,11.5
22011,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,11.5
22025,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,17.9
22026,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,17.9
22048,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,24.3
22049,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,24.3
22104,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1977,26.4
22165,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1977,39.7
22166,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1977,39.7
22204,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1977,58
22205,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1977,58
23310,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1977,113
23311,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1977,113
23477,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1977,318
23478,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1977,318
23784,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1977,2.51
24047,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1977,69.13
24048,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1977,69.13
24786,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1978,3.65
24787,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1978,3.65
25225,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,8.41
25226,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,8.41
25265,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,8.43
25266,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,8.43
25495,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1978,17.3
25496,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,9.29
25497,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,9.29
25512,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,17.4
25513,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,17.4
25534,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,20.3
25535,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,20.3
25591,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1978,25
25653,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1978,31
25654,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1978,31
25691,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1978,54.3
25692,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1978,54.3
26809,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1978,87
26810,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1978,87
26990,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1978,306
26991,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1978,306
27312,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1978,2.49
27609,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1978,64.04
27610,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1978,64.04
28359,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1979,3.64
28360,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1979,3.64
28796,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,8.44
28797,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,8.44
28836,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,8.02
28837,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,8.02
29061,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1979,15.9
29062,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,8.74
29063,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,8.74
29076,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,14.4
29077,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,14.4
29099,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,19
29100,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,19
29153,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1979,21.5
29213,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1979,29.2
29214,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1979,29.2
29251,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1979,47.6
29252,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1979,47.6
30427,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1979,100
30428,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1979,100
30618,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1979,291
30619,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1979,291
31022,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1979,2.44
31284,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1979,60.71
31285,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1979,60.71
32017,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1980,3.72
32018,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1980,3.72
32461,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,8.64
32462,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,8.64
32501,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,8.26
32502,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,8.26
32728,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1980,16.2
32729,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,8.25
32730,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,8.25
32744,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,16.5
32745,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,16.5
32767,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,21.2
32768,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,21.2
32826,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1980,23.4
32889,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1980,28.5
32890,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1980,28.5
32926,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1980,49.8
32927,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1980,49.8
34177,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1980,103
34178,Aves,Passeriformes,Sweden,Europe,Terrestrial,Boreal forests/taiga,Palearctic,1980,103
34404,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1980,264
34405,Aves,Passeriformes,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,1980,264
34870,Aves,Passeriformes,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,1980,2.45
35161,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1980,61.08
35162,Aves,Passeriformes,"United States, Canada",North America,Terrestrial,Temperate grasslands savannas and shrublands,Nearctic,1980,61.08
35917,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1981,3.51
35918,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,1981,3.51
36344,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1981,8.85
36345,Aves,Passeriformes,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,1981,8.85
